"Year","Total","TotalVar","Total.se","Total.cv","TotalLCI","TotalUCI"
2013,2130.35412738913,141302.947806063,375.902843572728,0.1764508720592,1393.59809230038,2867.11016247787
2014,2071.62467272104,80939.6233637592,284.498898703948,0.137331294828741,1514.01707762,2629.23226782209
2015,1376.14518507373,72941.02328105,270.075958354405,0.196255425142467,846.806033608958,1905.4843365385
