"cond..Int..","disp..Int..","cond.area.","cond.fleet.","cond.season.","cond.Year.","cond.area.season.","cond.offset.log.Effort...","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-3.98048859021338,"+","+","+",NA,-0.0928022228338966,NA,"+",513.361479677215,513.058230579742,534.952076008709,6,-250.529115289871,534.952076008709,0,0.995624139104984,0.136558812085904
-3.60154263560396,"+","+","+","+",-0.150889493346893,NA,"+",513.806828032412,513.149893725843,545.990661869294,9,-247.574946862921,545.990661869294,11.0385858605844,0.00399113992542492,0.151805927779942
-3.10202941631224,"+","+",NA,NA,-0.138913322159573,NA,"+",536.660874805159,536.517505629532,551.113402582177,4,-264.258752814766,551.113402582177,16.1613265734672,0.000308111523966384,0.0660269209981335
-3.37924019065674,"+",NA,NA,NA,-0.158032090253438,NA,"+",544.549967637315,544.464253351601,555.411176066084,3,-269.2321266758,555.411176066084,20.4591000573751,3.59300885731333e-05,0.00496018050842441
-3.92339994425681,"+","+","+","+",-0.187482638416123,"+","+",512.892085732618,511.740794219703,555.528485077637,12,-243.870397109851,555.528485077637,20.5764090689277,3.38832421567272e-05,0.17232157984848
-3.9491630786236,"+",NA,"+",NA,-0.152506309387514,NA,"+",541.762529832184,541.546702494054,559.79157368486,5,-265.773351247027,559.79157368486,24.839497676151,4.02037932202685e-06,0.0165501088823222
-2.75070560470397,"+","+",NA,"+",-0.202755746701797,NA,"+",535.636932922954,535.231135821505,560.773955488633,7,-260.615567910752,560.773955488633,25.8218794799238,2.46005905316107e-06,0.0888074268535725
-3.01983517999739,"+",NA,NA,"+",-0.219905905525591,NA,"+",543.476083137623,543.17283404015,565.066679469117,6,-265.586417020075,565.066679469117,30.1146034604079,2.87602305957106e-07,0.0253134959962259
-3.53364381680025,"+",NA,"+","+",-0.205520705917828,NA,"+",541.187898499484,540.664262135847,569.856056041137,8,-262.332131067924,569.856056041137,34.9039800324275,2.62296475723549e-08,0.0358937707697181
-2.86666313306955,"+","+",NA,"+",-0.22753209384273,"+","+",539.481466694948,538.675605889088,575.1653482707,10,-259.337802944544,575.1653482707,40.2132722619903,1.84456641223457e-09,0.101841284730748
