"","TMBbinomial","TMBdelta-Lognormal","TMBnbinom1","NegBin","TMBnbinom2","TMBtweedie"
"1",NA,0.0351323469544614,0.0344671307614077,0.0333190339186052,0.0333190454014196,0.0382939981725934
"2",NA,0.0978661032010543,0.0977810798234194,0.0975736401547097,0.0975736420011988,0.0988711582171993
"3",NA,0.060196372921475,0.0566795840194174,0.0602121693140719,0.0602121606604487,0.0637550927829116
"4",NA,0.0303565270422435,0.031758337282157,0.0317763101279108,0.0317763101344858,0.0409832833127244
"5",NA,0.0397188070415657,0.0414990711997635,0.0400269041286582,0.0400269047633372,0.0402336742001324
"6",NA,0.0446444656620686,0.0457062493597929,0.0462379386860105,0.0462379417053137,0.0459901640068952
"7",NA,0.0519187226459933,0.0566080439005473,0.0505334866017556,0.0505332420789229,0.0848327664760245
"8",NA,0.21741920175077,0.2146639888009,0.214170653359388,0.214170646491346,0.217565844590277
"9",NA,0.0609857858187,0.0596175283288118,0.0620424101328647,0.0620424339392709,0.0670639617977035
"10",NA,0.0346705555250191,0.033875521651672,0.0323915971638728,0.0323916250584008,0.0359680094249747
