"Year","Total","TotalVar","Total.se","Total.cv","TotalLCI","TotalUCI"
2013,2555.35669212538,127211.961895603,356.667859353212,0.139576545400618,1856.30053335009,3254.41285090068
2014,1985.07714141001,47639.5653985245,218.264897311786,0.109952854102562,1557.28580358957,2412.86847923044
2015,1126.34554622599,45298.5480938016,212.8345556854,0.18896026747612,709.197482417024,1543.49361003496
