"","Df","Deviance","Resid. Df","Resid. Dev","F","Pr(>F)"
"NULL",NA,NA,204,149.58736805873,NA,NA
"area",1,3.20560359002252,203,146.381764468708,3.10168565103156,0.0797706005732093
"Year",7,13.2512018080905,196,133.130562660617,1.83166139956585,0.083119452788392
