"","Year","Total","Total.mean","TotalVar","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",4422.47251374554,NA,NA,NA,NA,NA,NA
"2","2012",3000.2138972813,NA,NA,NA,NA,NA,NA
"3","2013",2016.49646168725,NA,NA,NA,NA,NA,NA
"4","2014",1239.91275039685,NA,NA,NA,NA,NA,NA
"5","2015",1047.61396576312,NA,NA,NA,NA,NA,NA
"6","2016",2110.9455865113,NA,NA,NA,NA,NA,NA
"7","2017",1532.77041176588,NA,NA,NA,NA,NA,NA
"8","2018",1662.57494358376,NA,NA,NA,NA,NA,NA
