"","Df","Deviance","Resid. Df","Resid. Dev","F","Pr(>F)"
"NULL",NA,NA,361,58.8304871163877,NA,NA
"area",1,7.39200008006941,360,51.4384870363183,33.8590117171757,1.33023925715753e-08
"Year",7,4.86446087474135,353,46.574026161577,3.18309052202251,0.00279555144459588
