"","cond((Int))","disp((Int))","cond(area)","cond(Year)","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-1.67566133563698,"+","+","+",235.360253205664,234.733472578884,273.649914697141,10,-107.366736289442,273.649914697141,0,0.999999999991805
"0",-1.84192380486696,"+",NA,"+",290.191427425792,289.680063789428,324.70486169586,9,-135.840031894714,324.70486169586,51.0549469987185,8.195191801018e-12
