"","Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",4331.4226781999,273122.825836882,4340.43245469203,3328.29213117082,5338.03371096359,522.611543918503,0.120405408763718
"2","2012",2957.32895728146,265135.844329301,2972.88575908248,1989.23529853036,4026.1024170459,514.913433820969,0.173203236030128
"3","2013",2093.60240166048,256409.823878285,2089.57149447096,1103.82221540402,3006.99070479364,506.369256450552,0.242331625307108
"4","2014",1340.25372022791,219044.0734385,1313.0549298642,438.998111012178,2252.05519740705,468.021445489947,0.356437065080249
"5","2015",1039.79270101202,227500.268742369,1025.36973082803,119.560190468513,1967.9448849802,476.96988242694,0.465168678269611
"6","2016",2110.12316938047,188783.430659298,2109.60679322896,1261.65418250208,2929.98854845377,434.492152586555,0.205958832698639
"7","2017",1626.73375164026,226719.245908832,1638.57858750848,727.893572824487,2572.82289940732,476.150444616858,0.29058749348169
"8","2018",1585.96674084894,233247.360820351,1572.2868207931,600.124515513846,2519.51921210564,482.956893335576,0.307168442137015
