"","strata","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv","Year"
"1","2011",3881.21555393169,161202.268379767,3883.86488212116,NA,NA,NA,NA,"2011"
"2","2012",2933.76690386206,134980.306869224,2929.32713257147,NA,NA,NA,NA,"2012"
"3","2013",1934.74260608144,106241.429994573,1949.64806183388,NA,NA,NA,NA,"2013"
"4","2014",1440.85242059581,89403.2445805439,1456.02974179257,NA,NA,NA,NA,"2014"
"5","2015",1179.27634697993,78870.4704017673,1165.20550633271,NA,NA,NA,NA,"2015"
"6","2016",1816.11937351721,89965.4993584679,1809.6687860752,NA,NA,NA,NA,"2016"
"7","2017",1460.13930636778,84337.8175891646,1449.98146110626,NA,NA,NA,NA,"2017"
"8","2018",1750.74109250547,88662.1146343267,1742.99811102885,NA,NA,NA,NA,"2018"
