"","cond((Int))","disp((Int))","cond(area)","cond(Year)","cond(offset(log(Effort)))","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-2.03366061971505,"+","+","+","+",1238.51598271163,1237.76169699735,1280.56978332743,11,-607.880848498674,1280.56978332743,0,0.999983934086388
"0",-2.67943761587944,"+",NA,"+","+",1264.35771109845,1263.73093047167,1302.64737258993,10,-621.865465235836,1302.64737258993,22.0775892624986,1.60659136120761e-05
