"","strata","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv","Year"
"1","2011",4446.96943273232,385630.658633887,4479.8716960967,NA,NA,NA,NA,"2011"
"2","2012",2926.97807305859,275421.833070233,2940.62987162767,NA,NA,NA,NA,"2012"
"3","2013",1974.49333589149,225074.721893308,2004.44111616134,NA,NA,NA,NA,"2013"
"4","2014",1271.99071402199,162767.437571955,1289.38223938168,NA,NA,NA,NA,"2014"
"5","2015",1085.07694942761,141603.435701223,1099.79506767328,NA,NA,NA,NA,"2015"
"6","2016",2233.44350555176,200648.041274746,2242.75440556604,NA,NA,NA,NA,"2016"
"7","2017",1551.75404716253,160168.416427057,1570.23268160628,NA,NA,NA,NA,"2017"
"8","2018",1638.90742081691,175588.80982857,1662.13301785898,NA,NA,NA,NA,"2018"
