"","cond((Int))","disp((Int))","cond(area)","cond(Year)","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-2.33384903988703,"+","+","+",497.567674020334,496.199798372665,532.752908143188,11,-237.099899186333,532.752908143188,0,0.986948878855689
"0",-2.58381473772558,"+",NA,"+",509.30831737456,508.174296756003,541.404396547387,10,-244.087148378002,541.404396547387,8.65148840419931,0.0130511211443111
