"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"area",1,0.159317153126053,0.159317153126053,31.2474556287613,4.5516561448417e-08
"Year",7,0.0993906454245692,0.0141986636320813,2.78483580157957,0.00785531011291489
"Residuals",353,1.79979310064952,0.0050985640245029,NA,NA
