"","Year","Total","Total.mean","TotalVar","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",4229.39380598088,NA,NA,NA,NA,NA,NA
"2","2012",3072.54259549861,NA,NA,NA,NA,NA,NA
"3","2013",2111.21092856984,NA,NA,NA,NA,NA,NA
"4","2014",1433.51968887451,NA,NA,NA,NA,NA,NA
"5","2015",1264.28787699089,NA,NA,NA,NA,NA,NA
"6","2016",1799.81722092443,NA,NA,NA,NA,NA,NA
"7","2017",1366.93445129,NA,NA,NA,NA,NA,NA
"8","2018",1794.25779152773,NA,NA,NA,NA,NA,NA
