"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"area",1,9.50843517071738,9.50843517071738,15.3634500625742,0.000122513634664433
"Year",7,7.60813136158704,1.08687590879815,1.75614214633968,0.0981636878894656
"Residuals",196,121.304348038369,0.618899734889639,NA,NA
