"","(Intercept)","area","Year","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",0.103531768604589,"+","+",-872.099765469242,-872.726546096023,-833.810103977765,10,446.363273048011,-833.810103977765,0,0.999993336975246
"0",0.0780039111596748,NA,"+",-844.485677555561,-844.997041191924,-809.972243285492,9,431.498520595962,-809.972243285492,23.8378606922726,6.66302475442787e-06
