"","strata","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv","Year"
"1","2011",4395.97249107512,518607.10611011,4473.886,NA,NA,NA,NA,"2011"
"2","2012",3026.51440301538,237582.661692693,3076.687,NA,NA,NA,NA,"2012"
"3","2013",1915.25625259826,137674.883283283,1939.26,NA,NA,NA,NA,"2013"
"4","2014",1338.458798881,78587.6857167167,1372.187,NA,NA,NA,NA,"2014"
"5","2015",1228.4501642739,73899.9766556557,1255.361,NA,NA,NA,NA,"2015"
"6","2016",1737.78230187271,129575.381397397,1781.772,NA,NA,NA,NA,"2016"
"7","2017",1589.95233814715,93553.4156546547,1610.069,NA,NA,NA,NA,"2017"
"8","2018",1604.42949582969,91430.5489129129,1635.694,NA,NA,NA,NA,"2018"
