"","Year","Total","Total.mean","TotalVar","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",778.439290616134,NA,NA,NA,NA,NA,NA
"2","2012",790.970462958045,NA,NA,NA,NA,NA,NA
"3","2013",432.34089068373,NA,NA,NA,NA,NA,NA
"4","2014",376.502074434958,NA,NA,NA,NA,NA,NA
"5","2015",349.990220069731,NA,NA,NA,NA,NA,NA
"6","2016",483.634520703065,NA,NA,NA,NA,NA,NA
"7","2017",390.551610184238,NA,NA,NA,NA,NA,NA
"8","2018",586.887327672245,NA,NA,NA,NA,NA,NA
