"","Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",4446.96943273232,385630.658633887,4479.8716960967,3367.71558769828,5827.92909206507,620.991673562446,0.13861818277151
"2","2012",2926.97807305859,275421.833070233,2940.62987162767,1914.29237917611,3959.52937050417,524.806472016335,0.17846736751193
"3","2013",1974.49333589149,225074.721893308,2004.44111616134,1128.54821076421,2982.66425121998,474.420406278343,0.236684631168859
"4","2014",1271.99071402199,162767.437571955,1289.38223938168,518.314712568664,2105.02048250722,403.444466527867,0.312897490135538
"5","2015",1085.07694942761,141603.435701223,1099.79506767328,377.822966676436,1855.36915711952,376.302319553338,0.342156762304311
"6","2016",2233.44350555176,200648.041274746,2242.75440556604,1416.82734047714,3216.21563887013,447.937541711728,0.19972652404563
"7","2017",1551.75404716253,160168.416427057,1570.23268160628,818.172732207193,2382.91072265239,400.21046516434,0.254873350843101
"8","2018",1638.90742081691,175588.80982857,1662.13301785898,892.268784341267,2552.62472801854,419.033184638842,0.252105685968867
