"","(Intercept)","area","Year","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-1.67566264064535,"+","+",235.36025320446,234.733472577679,273.649914695937,10,-107.36673628884,273.649914695937,0,0.999999999991805
"0",-1.84192539839503,NA,"+",290.191427421247,289.680063784884,324.704861691316,9,-135.840031892442,324.704861691316,51.0549469953788,8.19519181470282e-12
