"","cond((Int))","disp((Int))","cond(area)","cond(Year)","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",0.103531767055349,"+","+","+",-869.972260258366,-870.726545972651,-827.918459642568,11,446.363272986326,-827.918459642568,0,0.999372698996577
"0",0.0800956464970942,"+",NA,"+",-851.461208003176,-852.087988629957,-813.171546511699,10,436.043994314978,-813.171546511699,14.7469131308687,0.000627301003422475
