"","cond((Int))","disp((Int))","cond(area)","cond(Year)","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",2.09712180749265,"+","+","+",432.103672399661,431.592308763298,466.61710666973,9,-206.796154381649,466.61710666973,0,0.999999999989252
"0",0.838319248664191,"+",NA,"+",486.404512141287,485.996580129956,517.129733824562,8,-234.998290064978,517.129733824562,50.5126271548326,1.07478693883918e-11
