"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,361,495.455135035742,NA
"area",1,57.6514710915992,360,437.803663944143,3.12928840718711e-14
"Year",7,24.2113551809018,353,413.592308763241,0.00104585967514849
