"","cond((Int))","disp((Int))","cond(area)","cond(Year)","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-2.03752195054677,"+","+","+",-204.652870287034,-205.40715600132,-162.599069671236,11,113.70357800066,-162.599069671236,0,0.999999999499809
"0",-2.55099640843589,"+",NA,"+",-158.056669039243,-158.683449666024,-119.767007547766,10,89.3417248330119,-119.767007547766,42.8320621234705,5.00191014112571e-10
