"","cond((Int))","disp((Int))","cond(area)","cond(Year)","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-1.99528621256966,"+","+","+",-650.720663430947,-652.088539078615,-615.535429308092,11,337.044269539307,-615.535429308092,0,0.502864748602645
"0",-2.18111969724804,"+",NA,"+",-647.608590241316,-648.742610859873,-615.512511068489,10,334.371305429937,-615.512511068489,0.0229182396034275,0.497135251397355
