"","strata","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv","Year"
"1","2011",778.439310502585,3825.04296196196,774.259,NA,NA,NA,NA,"2011"
"2","2012",790.970451927974,3483.47623523524,784.671,NA,NA,NA,NA,"2012"
"3","2013",432.340894887954,3690.62972972973,434.37,NA,NA,NA,NA,"2013"
"4","2014",376.502081616981,3077.57054654655,378.032,NA,NA,NA,NA,"2014"
"5","2015",349.990224757777,3453.18381981982,351.558,NA,NA,NA,NA,"2015"
"6","2016",483.634518842007,2845.36765165165,484.154,NA,NA,NA,NA,"2016"
"7","2017",390.551610818788,3371.26836836837,388.63,NA,NA,NA,NA,"2017"
"8","2018",586.887328513769,3547.35943843844,584.339,NA,NA,NA,NA,"2018"
