"","(Intercept)","area","Year","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-2.03752484595805,"+","+",-208.895792364128,-209.407156000492,-174.38235809406,9,113.703578000246,-174.38235809406,0,0.999999999499809
"0",-2.55099631047692,NA,"+",-162.27551765327,-162.683449664601,-131.550295969995,8,89.3417248323006,-131.550295969995,42.8320621240649,5.00191013963898e-10
