"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,361,473.628856906932,NA
"area",1,77.9196309417045,360,395.709225965228,1.07319479514492e-18
"Year",7,26.1833182907282,353,369.525907674499,0.000467054835204218
