"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"area",1,6.75191790382856,6.75191790382856,62.1369687382362,4.02646847321472e-14
"Year",7,2.81134245866368,0.401620351237669,3.69605667085257,0.000715576432410979
"Residuals",353,38.3576326372167,0.108661848830642,NA,NA
