"","(Intercept)","area","Year","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-1.55154314313006,"+","+",-1142.38312844316,-1143.00990906994,-1104.09346695168,10,581.50495453497,-1104.09346695168,0,0.999999999978192
"0",-1.72594975582678,NA,"+",-1089.50943082607,-1090.02079446243,-1054.995996556,9,554.010397231217,-1054.995996556,49.0974703956806,2.18081972130839e-11
