"","(Intercept)","area","Year","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",2.0971203784108,"+","+",432.103672399605,431.592308763241,466.617106669673,9,-206.796154381621,466.617106669673,0,0.999999999989252
"0",0.838326851470447,NA,"+",486.404512134666,485.996580123335,517.129733817941,8,-234.998290061667,517.129733817941,50.5126271482681,1.0747869423669e-11
