"","strata","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv","Year"
"1","2011",4555.25078618992,709277.105132894,4557.50356490094,NA,NA,NA,NA,"2011"
"2","2012",2883.02863943393,259343.237801134,2920.80470421244,NA,NA,NA,NA,"2012"
"3","2013",2003.61463104112,283243.61607789,2064.63394979616,NA,NA,NA,NA,"2013"
"4","2014",1231.77605818058,121821.808388406,1276.39219483328,NA,NA,NA,NA,"2014"
"5","2015",1077.97159085634,123717.43770125,1130.71293453593,NA,NA,NA,NA,"2015"
"6","2016",2297.80419116091,280045.452691191,2315.44473706534,NA,NA,NA,NA,"2016"
"7","2017",1545.54258409118,172568.738367101,1567.3164874587,NA,NA,NA,NA,"2017"
"8","2018",1654.19199255799,115073.458475928,1668.41994836802,NA,NA,NA,NA,"2018"
