"","TMBnormal"
"KS.D",0.20585635359116
"KS.p",9.47020240005259e-14
"Dispersion.ratio",1.00063295397997
"Dispersion.p",1
"ZeroInf.ratio",Inf
"ZeroInf.p",0
"Outlier",9
"Outlier.p",0.00281922036906592
