"","cond((Int))","disp((Int))","cond(area)","cond(Year)","cond(offset(log(Effort)))","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-2.1839818202019,"+","+","+","+",1226.91422488628,1226.2874442595,1265.20388637776,10,-603.143722129752,1265.20388637776,0,1
"0",-2.76808147822525,"+",NA,"+","+",1321.18994820108,1320.67858456472,1355.70338247115,9,-651.339292282358,1355.70338247115,90.4994960933855,2.22989347035163e-20
