"","(Intercept)","area","Year","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-2.33384925145078,"+","+",495.333818939532,494.199798320975,527.429898112359,10,-237.099899160488,527.429898112359,0,0.998746057919086
"0",-2.58750547983178,NA,"+",511.806301815957,510.88322489288,540.790314705125,9,-246.44161244644,540.790314705125,13.3604165927661,0.00125394208091375
