"","(Intercept)","area","Year","offset(log(Effort))","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-2.02952913234331,"+","+","+",1236.42744580018,1235.8006651734,1274.71710729165,10,-607.900332586698,1274.71710729165,0,0.999999999999996
"0",-2.68659604344198,NA,"+","+",1306.59264368061,1306.08128004425,1341.10607795068,9,-644.040640022124,1341.10607795068,66.3889706590271,3.83546648163492e-15
