"","cond((Int))","disp((Int))","cond(area)","cond(Year)","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-1.55153602389427,"+","+","+",-1142.46380717349,-1143.09058780027,-1104.17414568201,10,581.545293900134,-1104.17414568201,0,0.999999999977892
"0",-1.72595757959045,"+",NA,"+",-1089.61741969076,-1090.12878332713,-1055.10398542069,9,554.064391663563,-1055.10398542069,49.0701602613167,2.2108032084857e-11
