"","strata","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv","Year"
"1","2011",4632.97434810282,444839.176418769,4681.2085139242,NA,NA,NA,NA,"2011"
"2","2012",2957.34250224173,227157.459640436,3011.04152605606,NA,NA,NA,NA,"2012"
"3","2013",1964.53807379407,179016.908583005,2013.43199307185,NA,NA,NA,NA,"2013"
"4","2014",1181.54636447602,80063.1928959964,1214.78622380204,NA,NA,NA,NA,"2014"
"5","2015",1024.45549406893,80186.5351969706,1062.26783592951,NA,NA,NA,NA,"2015"
"6","2016",2259.48274784946,189522.854357743,2313.103485068,NA,NA,NA,NA,"2016"
"7","2017",1529.70211508147,104365.531137269,1557.27246503808,NA,NA,NA,NA,"2017"
"8","2018",1647.53564250795,104546.868391951,1673.8344488062,NA,NA,NA,NA,"2018"
