"","Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",3788.27609729066,219613.754730731,3815.032,2954.8,4811.2,468.629656264657,0.122837673776958
"2","2012",3112.86013667984,164839.543543544,3131.5,2393,4003.2,406.004363946428,0.129651720883419
"3","2013",2314.48159384082,157082.868864865,2329.498,1656.9,3207.275,396.336812401857,0.170138292628651
"4","2014",1427.82322574066,68407.4018778779,1462.782,1026.975,2031.05,261.548087123339,0.178801822228698
"5","2015",1114.61305041619,68732.0766806807,1156.086,723.9,1756.375,262.168031385752,0.226772083898388
"6","2016",1724.14145722198,91388.1354314314,1729.552,1232.675,2439.075,302.304706267421,0.174787867764265
"7","2017",1527.24783773115,82537.0606446446,1556.696,1062.9,2213.225,287.29263938473,0.184552821735734
"8","2018",1972.76224320814,95647.677956957,2002.311,1438,2655.2,309.269587830677,0.154456319637997
