"","Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",3893.3869813302,166688.202277874,3888.02976626652,3080.6580469444,4686.06701196938,408.274665241273,0.105008112022074
"2","2012",2944.93806289425,136133.74666477,2930.03958282346,2258.8436343734,3662.87677999085,368.963069513427,0.125924261117962
"3","2013",1943.58158055659,110820.225381004,1948.60999276021,1342.69028148617,2637.92124344952,332.896718789783,0.170838043542122
"4","2014",1448.75685692753,89291.2533103072,1451.31077526458,883.611510018323,2070.59323052142,298.81642075078,0.205894165359796
"5","2015",1186.23381636465,77518.2317619617,1175.74552589327,639.810828747005,1704.35756878049,278.420961427048,0.236803760078542
"6","2016",1823.58856115596,93073.926993937,1815.45310327307,1264.15576271942,2400.25450152682,305.080197643074,0.168046311465191
"7","2017",1467.72481754715,87244.3840498627,1464.97373078173,921.843888149997,2052.15151097571,295.371603323445,0.201622457193024
"8","2018",1758.97858431732,87436.8219020309,1754.69179465233,1224.20229538476,2403.83985042824,295.697179394784,0.168518015697094
