"","(Intercept)","area","Year","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"1",-1.99785932105963,"+","+",-649.529563298431,-650.663583916987,-617.433484125603,10,335.331791958494,-617.433484125603,0,0.864143453089246
"0",-2.19162230953973,NA,"+",-642.71721849122,-643.640295414297,-613.733205602051,9,330.820147707148,-613.733205602051,3.70027852355224,0.135856546910754
