"","Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","2011",4396.00072258235,497763.35571972,4438.194,3289.775,5928.4,705.523462203575,0.158966341309906
"2","2012",3026.51818433075,262193.135814815,3079.111,2243.925,4185.05,512.047981945847,0.166297344248339
"3","2013",1915.22931196174,150824.613697698,1958.054,1327.975,2871.325,388.361447234014,0.198340519328892
"4","2014",1338.44887183405,66954.0496336336,1365.804,920.975,1931.025,258.754806010697,0.189452370919032
"5","2015",1228.46186716331,79333.5204394394,1266.759,809.95,1863.175,281.66206780367,0.222348582329923
"6","2016",1737.7844430915,122459.46544044,1775.695,1199.975,2599.15,349.942088695316,0.197073308589209
"7","2017",1589.93367049323,87079.6294684685,1630.869,1138.9,2305.025,295.092577792916,0.180941925925943
"8","2018",1604.43785547094,96182.8237797798,1649.862,1127,2336.1,310.133557971045,0.187975453687063
