"Year","Eff","Units","OCat","OEff","OUnit","CPUE","CPse","Out","Pos","OCatS","OEffS","Cov","PFrac","EFrac","UFrac","Cat","Cse"
2013,58227.151,1988,121,2613.34,114,0.0268478297688554,0.00577226458786612,0,33,3.70191313304207,27.1196577552118,71.0162456140351,0.289473684210526,0.0448818112361362,0.0573440643863179,2695.96962928666,681.449397936118
2014,57166.282,1971,80,2698.435,92,0.0165780149147761,0.00356300609657416,0,24,2.02846442925551,33.3629687810986,45.1246899187769,0.260869565217391,0.0472032622306975,0.0466768138001015,1694.79811816849,308.471804645812
2015,46651.699,1683,59,2016.948,78,0.0387339055992092,0.0158190744062862,0,21,1.8529435861353,28.6801278440465,31.8621538461538,0.269230769230769,0.043234181031649,0.0463458110516934,1364.66098332728,300.768137642245
