"Year","Total","TotalVar","Total.se","Total.cv","TotalLCI","TotalUCI"
"2001",1090.45537540382,4297.95999932774,65.5588285384032,0.0601205973368011,961.962432599911,1218.94831820772
"2002",874.77325009325,2514.64576951162,50.1462438225598,0.0573248482589222,776.488418241069,973.058081945431
"2003",1101.31599956358,6820.68195199688,82.5874200589707,0.0749897577913132,939.447630671915,1263.18436845524
"2004",1338.97598755956,4379.61765452106,66.1786797580691,0.0494248443384615,1209.26815868934,1468.68381642979
"2005",1020.04517589632,6151.42885918459,78.4310452511286,0.0768897761633065,866.323151934276,1173.76719985836
"2006",942.567520516446,6068.51088661148,77.9006475365351,0.0826472860998353,789.885056972488,1095.2499840604
"2007",858.788190700247,7102.68486226244,84.2774279523435,0.0981352897780587,693.607467203984,1023.96891419651
"2008",975.538444724992,6797.02142716611,82.4440502836081,0.0845113288250259,813.951075429511,1137.12581402047
"2009",979.672419905127,4469.99738238112,66.8580390258428,0.0682453008448655,848.633071337501,1110.71176847275
"2010",747.42016241618,7442.46798408483,86.2697396778548,0.115423350902083,578.334579691939,916.505745140422
"2011",765.132096465793,5007.54295493079,70.7639947637977,0.0924859839113563,626.437215326569,903.826977605018
"2012",784.727439749122,4412.63027318589,66.4276318499003,0.0846505786405753,654.531673745031,914.923205753212
"2013",418.1807685529,4997.44382665804,70.6926009328985,0.169047948277315,279.625816750956,556.735720354843
"2014",346.799865932491,4217.08775057312,64.9391080210771,0.18725240232278,219.521553023024,474.078178841959
"2015",338.917769421907,4754.7627434622,68.9547876761447,0.203455805205378,203.768869015057,474.066669828757
