"","TMBbinomial","TMBdelta-Lognormal","TMBdelta-Gamma","TMBnbinom2","TMBtweedie"
"1",NA,0.0139957089300122,0.0112219724113589,0.0102501805704238,0.010223721714619
"2",NA,-0.00821740323256279,-0.00967880459835339,-0.0113707995647454,-0.00932034021847712
"3",NA,0.022891097614277,0.0205228812061336,0.0194440974478854,0.020884433615601
"4",NA,-0.0068149015831227,-0.00815427909171345,-0.00600569665110181,-0.00611918014602424
"5",NA,0.00405630262264915,0.0021717222251702,0.00254283593512902,0.00294884082568078
"6",NA,-0.0138596171225948,-0.0162297964329825,-0.0190167605529063,-0.0180796940671639
"7",NA,-0.0137128533322807,-0.0157852127341051,-0.0126598524585718,-0.0127898777422142
"8",NA,0.0182798007441345,0.014537000114937,0.0129138166150547,0.0130110439164509
"9",NA,-0.0111375662435565,-0.0157500715394672,-0.0162274073223417,-0.0156572991769794
"10",NA,0.0194817273361246,0.0160119718934882,0.0162339867645698,0.0165553717526322
