"cond..Int..","disp..Int..","cond.area.","cond.season.","cond.Year.","cond.area.season.","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-1.36421784278248,"+","+",NA,"+",NA,-290.20011960534,-291.043626819547,-199.359886130696,19,164.521813409773,-199.359886130696,0,0.903559519577483,0.194922575363336
-1.32623406503955,"+","+","+","+","+",-313.316144764086,-314.768658730567,-194.132157824184,25,182.384329365283,-194.132157824184,5.22772830651175,0.0661865871431195,0.205364836112385
-1.23746847724165,"+","+","+","+",NA,-297.599623919555,-298.726572694611,-192.566451896994,22,171.363286347305,-192.566451896994,6.79343423370182,0.0302538929176204,0.200198183704799
-1.70727706583311,"+",NA,NA,"+",NA,-241.917696442841,-242.676011298717,-155.817730646121,18,139.338005649358,-155.817730646121,43.5421554845745,3.16882194681978e-10,0.172928772006161
-1.55732145040403,"+",NA,"+","+",NA,-252.216151158084,-253.243959834391,-151.90929907303,21,147.621979917195,-151.90929907303,47.4505870576664,4.48944550983137e-11,0.17914850536703
