"cond..Int..","disp..Int..","cond.area.","cond.season.","cond.Year.","cond.area.season.","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-1.60844678422775,"+","+",NA,"+",NA,1656.66981650007,1655.54666379071,1735.51238678714,18,-809.773331895354,1735.51238678714,0,0.968377124513166,0.217883823838755
-1.56449561940829,"+","+","+","+",NA,1650.60523736524,1649.08048488999,1742.37382838582,21,-803.540242444994,1742.37382838582,6.86144159868604,0.0313401744569104,0.2332750891185
-1.59478382151682,"+","+","+","+","+",1647.18018851717,1645.19013876593,1751.81110276116,24,-798.595069382963,1751.81110276116,16.2987159740271,0.000279784284797776,0.245270048979124
-1.87427424356238,"+",NA,NA,"+",NA,1686.72603075705,1685.72275206853,1761.24593489849,17,-825.861376034263,1761.24593489849,25.7335481113505,2.50078035745994e-06,0.202651188176511
-1.79149119696035,"+",NA,"+","+",NA,1677.36650167448,1675.98264664976,1764.83344997913,20,-817.991323324882,1764.83344997913,29.3210631919928,4.15964768185371e-07,0.213401361584063
