"","TMBbinomial","TMBdelta-Lognormal","TMBdelta-Gamma","TMBnbinom2","TMBtweedie"
"1",NA,0.0947838619658588,0.0947362126666952,0.0930935183303686,0.0932624184605345
"2",NA,0.130278678565717,0.12940051703563,0.128584385292779,0.12829073481527
"3",NA,0.0927432610229531,0.0916551045704882,0.0945530090718727,0.0958057543926789
"4",NA,0.132338083038024,0.132512388359338,0.134166633517902,0.134839061432634
"5",NA,0.115590396914056,0.115948056351578,0.1155606787372,0.114679141608483
"6",NA,0.120068909858104,0.120212379728538,0.122293609975486,0.121942988837981
"7",NA,0.151641010783896,0.152944842505649,0.154107386531976,0.153544438478933
"8",NA,0.12267450344533,0.12230578869188,0.121665729012476,0.122744276377755
"9",NA,0.164677597855106,0.165277180291991,0.164442151831893,0.164620905329668
"10",NA,0.135296688209691,0.134877730339044,0.134558791870711,0.134458126242513
