"","TMBbinomial","TMBdelta-Lognormal","TMBdelta-Gamma","TMBnbinom2","TMBtweedie"
"1",NA,0.0930100140041973,0.0917695390460185,0.0938055973144322,0.093465330502587
"2",NA,0.0952863986198764,0.0934399130995798,0.094196061120033,0.0952284537853681
"3",NA,0.189147721160074,0.191327666974671,0.189259006452177,0.190359836704136
"4",NA,0.127460465860662,0.127113901249541,0.126476482442172,0.126577962432483
"5",NA,0.12157887017438,0.121712925878372,0.125256805796361,0.124492893390696
"6",NA,0.112741739827208,0.111251489413915,0.112199359757419,0.112646421451339
"7",NA,0.125927960705089,0.126048785272397,0.129953410303483,0.129635411845408
"8",NA,0.124369285912891,0.124001777956967,0.122138044745165,0.123540179486872
"9",NA,0.132773445861224,0.133236767422711,0.132271577223368,0.131712102848679
"10",NA,0.13899729911776,0.138532891892604,0.135437279581868,0.135635862668542
