"cond..Int..","disp..Int..","cond.area.","cond.season.","cond.Year.","cond.area.season.","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-1.26507536051314,"+","+",NA,"+",NA,-1360.26843992555,-1361.39159263491,-1281.42586963848,18,698.695796317456,-1281.42586963848,0,0.998305694799739,0.180669210427872
-1.26949259342189,"+","+","+","+",NA,-1360.35471243578,-1361.87946491102,-1268.58612141519,21,701.939732455512,-1268.58612141519,12.8397482232922,0.00162610148841531,0.184486082723925
-1.34470853613237,"+","+","+","+","+",-1366.83857945954,-1368.82862921079,-1262.20766521555,24,708.414314605394,-1262.20766521555,19.2182044229339,6.7001339004876e-05,0.194479368526674
-1.50461300037919,"+",NA,NA,"+",NA,-1328.68152889124,-1329.68480757976,-1254.1616247498,17,681.842403789882,-1254.1616247498,27.26424488868,1.19924521508073e-06,0.161786641144072
-1.47865398007507,"+",NA,"+","+",NA,-1329.73022625222,-1331.11408127693,-1242.26327794757,20,685.557040638467,-1242.26327794757,39.1625916909138,3.12762599691515e-09,0.163667301354335
