"cond..Int..","disp..Int..","cond.area.","cond.season.","cond.Year.","cond.area.season.","cond.offset.log.Effort...","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-1.37989818259895,"+","+",NA,"+",NA,"+",4282.80080160418,4282.12306074039,4364.15588135673,17,-2124.0615303702,4364.15588135673,0,0.702042931508803,0.138084620526372
-1.31934366747252,"+","+","+","+","+","+",4257.03590169177,4255.805132461,4366.79071329487,23,-2104.9025662305,4366.79071329487,2.63483193814136,0.18802568748988,0.145138579103642
-1.19359442485248,"+","+","+","+",NA,"+",4272.28829035713,4271.3549570238,4367.86415774891,20,-2115.6774785119,4367.86415774891,3.70827639217532,0.109931381001317,0.143808759070627
-1.39714449888634,"+",NA,"+","+",NA,"+",4361.21104164969,4360.36753443548,4452.05127512433,19,-2161.18376721774,4452.05127512433,87.8953937676024,5.75600843959015e-20,0.108938174034578
-1.67438780241867,"+",NA,NA,"+",NA,"+",4380.94100854087,4380.33923862936,4457.54659920945,16,-2174.16961931468,4457.54659920945,93.3907178527143,3.68830611667656e-21,0.0964508592155344
