"","TMBbinomial","TMBdelta-Lognormal","TMBdelta-Gamma","TMBnbinom2","TMBtweedie"
"1",NA,0.0150937458862526,0.0118031183923978,0.010336162895818,0.01119064547432
"2",NA,0.0126512380191559,0.0125130025976254,0.0116860137295652,0.0131735940098967
"3",NA,-0.0349270537568375,-0.0385332915048906,-0.0377737498050301,-0.037124082667864
"4",NA,0.0130360565732033,0.0106048926379478,0.0102597710486263,0.0109147812772571
"5",NA,0.0082258554897315,0.00663237434448976,0.00523976469363545,0.00593147962637153
"6",NA,0.0172798701886727,0.0142653676185045,0.0162616578809913,0.0166298273914133
"7",NA,-0.00283135378945847,-0.00514495807299574,-0.00902021281478398,-0.00864933696810029
"8",NA,-0.00236624101246974,-0.00492891607742901,-0.0041103235209965,-0.00408665450287265
"9",NA,-0.0179311097188635,-0.0208572142071784,-0.0187039077321898,-0.0183837466721583
"10",NA,0.015460872811256,0.0118549006904552,0.0097751551875081,0.00992425465514129
