"Year","area","fleet","month","ratioMean","ratioSE","deltaMean","deltaSE"
1990,"N","1","1",168.259392590653,82.7614698009894,230.748903636978,114.201531090277
1990,"N","1","2",280.485188051385,99.2650826773432,139.417482141387,99.1190253161407
1990,"N","1","3",321.588818755636,154.939171221639,276.106022931545,197.881992542726
1990,"N","1","4",113.397091990978,23.0087455382198,57.2965078635501,30.6651376971279
1990,"N","1","5",178.465283059872,74.333342366543,45.6531020680454,45.6531020680454
1990,"N","1","6",134.350440877233,52.9519663319004,63.3116643843678,34.2363250158902
1990,"N","1","7",143.865333905685,108.605912327167,105.739205127583,68.9465794593445
1990,"N","1","8",0,0,0,0
1990,"N","1","9",29.7988794521766,17.7238583146462,9.51697057486935,9.51697057486935
1990,"N","1","10",57.1266945925362,60.765426805803,56.8302079781793,56.8302079781793
1990,"N","1","11",21.7958711721225,9.55485769723768,9.41336374290661,5.13785747550288
1990,"N","1","12",179.155823729589,40.390223380562,166.42228435559,63.320749528332
1990,"N","2","1",116.528641101654,94.313725025253,60.2045454545455,60.2045454545455
1990,"N","2","2",400.11170105211,107.041387418989,700.112100602138,263.938696354105
1990,"N","2","3",406.06287866649,78.1629866873125,598.571602827572,240.034327013313
1990,"N","2","4",111.413619544238,69.4010200446005,92.012429765109,59.0421692933289
1990,"N","2","5",81.0528316666231,40.2660344485337,36.1047609935635,22.6524352113892
1990,"N","2","6",128.608217765043,95.5023555315939,251.068093531888,152.229662838983
1990,"N","2","7",345.812264304257,67.2205616226134,333.386214996949,103.603121337004
1990,"N","2","8",448.99053965972,151.369104738808,853.507191020276,386.530365504749
1990,"N","2","9",814.350932419181,382.199135584464,1238.21815480517,546.443671358719
1990,"N","2","10",1125.14987363661,529.986340619866,891.713064723126,490.14112644335
1990,"N","2","11",314.655806870018,111.013915602013,389.245323430305,173.469207503853
1990,"N","2","12",104.31577652702,35.9600040821766,185.560669861409,124.789959592285
1990,"S","2","1",3838.65313915589,869.464991342385,3024.46565463182,1181.30753796612
1990,"S","2","2",1521.84621575095,309.211065886136,1757.76036159724,339.798858671685
1990,"S","2","3",1317.7852837948,301.846076126893,1215.30040155954,374.592726230905
1990,"S","2","4",1190.12061428091,180.814947453023,996.170307311237,218.228360509806
1990,"S","2","5",1400.34844165427,434.114046205329,967.07144978588,505.525656988136
1990,"S","2","6",1361.75726326441,257.716432710714,1346.29467007451,230.609115185257
1990,"S","2","7",382.714720923973,85.0934812037202,315.401122199107,108.496867042716
1990,"S","2","8",671.097784678889,209.832490052543,1135.46744874626,555.819029801878
1990,"S","2","9",974.709188461346,173.989120254378,664.012487771441,297.83183663804
1990,"S","2","10",122.485458895761,55.5710147074187,163.285518187961,84.965960637948
1990,"S","2","11",411.857646973751,138.060864680041,618.973518165328,322.217191361108
1990,"S","2","12",1009.49938453305,179.855007412012,972.501205622422,186.603184563114
1990,"S","3","1",119.11471859178,15.6642880467051,122.924599207625,21.9332616156994
1990,"S","3","2",79.4704480457579,7.23186351299195,82.4021454115574,13.0964317130549
1990,"S","3","3",67.9866828844483,9.79505452738764,130.056877080744,36.2232179806225
1990,"S","3","4",140.789811324558,28.2162260778752,117.270055780801,31.3721039035432
1990,"S","3","5",129.677328936307,47.9585019056206,175.248722094766,84.9433284140572
1990,"S","3","6",163.479054631868,28.4666382464126,125.105363391483,26.3279528904852
1990,"S","3","7",77.2489863484447,14.2262321929465,68.0257283725568,23.015077938924
1990,"S","3","8",101.816365262663,28.1607908015551,105.875415211772,49.3840147214689
1990,"S","3","9",119.520446149881,19.9690727460036,90.9851841925875,28.3666413286139
1990,"S","3","10",39.7480479584808,21.5311768136884,38.1950844732093,16.8070527370935
1990,"S","3","11",34.0259222884983,7.42092478762345,32.9210008559689,11.3948348819108
1990,"S","3","12",104.049121181265,23.2724363620262,167.61576149987,50.811894202497
1991,"N","1","1",294.22079787234,94.0257422890371,168.443716016031,66.2816915888449
1991,"N","1","2",139.687522294357,38.4957913784493,88.7223807800077,33.8680773692938
1991,"N","1","3",156.758008051812,67.4987116939326,226.553310280895,121.898133823475
1991,"N","1","4",72.9395741365879,18.0735011691805,50.9307124518958,19.6407036469328
1991,"N","1","5",144.700156847983,30.6415148173574,114.777751541179,44.7346437178417
1991,"N","1","6",173.901783267753,36.7901668896739,104.893919081887,41.8499818662377
1991,"N","1","7",165.025038755398,98.4502399129949,153.01878092758,82.6975855355033
1991,"N","1","8",214.283005977797,86.0957276354311,123.480145571611,52.1968151625989
1991,"N","1","9",82.9680375141486,26.651193931801,70.1579055784776,28.925830466216
1991,"N","1","10",32.096002715777,21.4602228508444,33.3856830186891,22.408813135903
1991,"N","1","11",0,0,0,0
1991,"N","1","12",147.183506480223,35.4798456133455,176.342493931376,59.7313272607376
1991,"N","2","1",260.820472631792,79.3319737990553,192.82797142051,83.1468100698777
1991,"N","2","2",190.958636865784,22.4886284215431,244.969757418717,73.2790022098424
1991,"N","2","3",323.427526340867,44.023722774332,437.45871411219,115.103325945635
1991,"N","2","4",92.7012583422487,47.3546310267053,80.6928030649114,38.3916587015279
1991,"N","2","5",102.949915141388,51.4656589749672,45.8587566166188,28.7721753183192
1991,"N","2","6",264.901478055858,56.7427417515249,393.34792570607,167.353806406862
1991,"N","2","7",108.606723447567,23.0781138945272,125.21961755763,50.1204505983719
1991,"N","2","8",1301.16179055892,487.587620709302,1989.67189088432,766.391377367447
1991,"N","2","9",732.814516921388,190.200997718944,1199.10116265957,440.153131258844
1991,"N","2","10",606.28683937498,306.088231391898,505.863095534799,219.513521989909
1991,"N","2","11",401.926353415514,135.268587107341,456.596168633769,200.891830444871
1991,"N","2","12",841.859888545841,764.999068025698,1412.62043841451,1087.77345257543
1991,"S","2","1",1307.64823659074,320.627846434387,1521.84289746316,283.194990039462
1991,"S","2","2",2039.23082213927,243.592743625027,1475.03891591565,358.13072379522
1991,"S","2","3",1235.17629666133,201.864800835466,1163.25980671777,290.916959877285
1991,"S","2","4",1099.11792413305,159.351195488592,993.33006214776,226.086676049038
1991,"S","2","5",1741.64767020509,423.481440892264,1878.62385818417,378.332542737724
1991,"S","2","6",1378.43763032706,365.665891715012,1582.90495476225,339.352413440722
1991,"S","2","7",588.309959062851,132.710697175422,468.904438615182,162.299962477232
1991,"S","2","8",214.875359584636,129.984065114415,157.710545292921,80.2586681690013
1991,"S","2","9",660.016917873553,99.4539233194577,484.957237495454,169.329193774412
1991,"S","2","10",324.245938712894,165.709649116338,233.344402903343,104.761109313067
1991,"S","2","11",489.387763295622,127.786748409946,678.064016667262,270.782637422192
1991,"S","2","12",1031.85887986356,179.213110868878,894.196148879903,184.803627592651
1991,"S","3","1",91.5263787561693,10.5115236476159,91.7200093967328,14.2312668433687
1991,"S","3","2",280.694216404967,54.4713279131819,198.687190653382,71.631625746402
1991,"S","3","3",69.0770863092373,9.56601108165217,111.105308834527,26.4414030180257
1991,"S","3","4",85.6363097153148,11.0788826916824,71.3591279376918,18.1493234298984
1991,"S","3","5",26.2800420325752,5.39448733112836,37.8823468365598,10.9919276057838
1991,"S","3","6",100.916810318848,15.1763582263959,98.8488829870084,20.6274406479825
1991,"S","3","7",114.941950812369,19.4946911268962,133.67264814483,45.3978439187983
1991,"S","3","8",218.023634093351,57.0707054730941,235.230458130553,78.7223002663723
1991,"S","3","9",172.973790650551,21.0720545288027,142.542265944634,33.6514493199777
1991,"S","3","10",70.6758894130035,22.9198955216842,65.362581595253,23.2153584452606
1991,"S","3","11",109.558227083767,19.2971042516203,124.686881495245,35.5783790404465
1991,"S","3","12",605.398903046561,112.240481112046,813.706071371316,179.213945276994
