"Year","ratioMean","ratioSE","deltaMean","deltaSE"
1990,21402.7719246868,2404.91267637053,23022.1477178936,3287.84775476919
1991,23034.2197591158,2179.33453293333,28174.6224073848,4815.24470898808
1992,20413.9335576418,1807.43620412785,21709.1071527821,2875.44282582682
1993,27314.215436891,2455.94922959497,26133.9621738145,3055.28461086021
1994,22165.9526108104,1655.18402824374,21988.0555974958,2510.53358403537
1995,17102.1211367926,1414.05895182605,18839.078447239,2119.83739919202
1996,22450.4921118011,2416.81416770362,22886.6749415213,2505.14871672214
1997,18780.0419820454,2114.88854607612,20058.7847124226,2512.24810678399
1998,19220.060850176,1943.0449997331,19737.9325843187,2585.97576415693
1999,20251.8959597081,3179.72429998911,20692.5167655385,2795.9075445991
2000,16767.6209279982,2762.82687680788,20528.7670456844,3185.48726308471
2001,17532.759384562,1813.85905016996,22161.8729387418,2689.5451884826
2002,12423.4349768786,1165.88715121655,12961.5881752125,1401.94127380397
2003,11251.2978077625,1495.78539978076,11719.2000072665,1890.7773209369
2004,16380.7841017376,1793.84816424931,17978.7624916994,2991.26643079886
2005,10830.2999306629,1145.71335892735,10772.0581060089,1592.19607450564
2006,7349.94330715144,958.402667662872,7413.87178996571,1080.12740161213
2007,3665.79970376407,552.213969820644,3148.02639080069,465.375991071266
2008,6224.91389783655,1027.05515497381,6220.58036807949,1010.05661667563
2009,6280.01278254768,1024.77892523458,6321.71395546073,874.322886852495
2010,6482.06570288454,1729.51814577066,5327.89011882312,852.9948044176
2011,4453.58690633049,541.981519012983,4952.03896128052,823.488685189794
2012,3319.39732619186,366.237424465411,3543.4160330731,537.252865589391
2013,2789.23224274143,549.746635236862,2442.18984558985,522.450761200543
2014,1579.11194678438,273.362771837914,1502.61603578467,235.339553381521
2015,1388.61844424814,302.338293019049,1311.04470042332,306.307255511269
2016,2021.75332619837,351.861830250394,2507.23788710583,638.757382368498
2017,2203.15552954452,532.158113905286,1536.6521651327,387.508501638291
2018,2059.19297916163,243.713313155705,1905.44367107271,300.60690328754
