"Year","area","fleet","ratioMean","ratioSE","deltaMean","deltaSE"
2000,"N","1",1148.20951563978,475.22117330558,1536.80489698469,521.372284398059
2000,"N","2",9815.02343234859,2532.14919117655,13725.9989609347,3021.66413493781
2000,"N","3",659.449133548352,146.864077147456,592.502203962409,183.004976201422
2000,"S","1",1.95805714285714,2.75377739282054,12.6911111111111,12.6911111111111
2000,"S","2",3413.30816496687,799.579029390869,2988.58089630758,617.411315654612
2000,"S","3",1725.37753085255,578.53344563382,1676.05015354386,574.76666490105
2001,"N","1",675.741261135037,170.305896321082,891.065820472326,253.939199852957
2001,"N","2",9095.0627819842,1461.23413419989,10736.8604172604,1971.99150815012
2001,"N","3",229.197458708639,14.8030688126893,150.012042226779,75.7199114681244
2001,"S","1",3.36688053773297,4.24926095687264,20.407037037037,20.407037037037
2001,"S","2",2374.02083695186,643.330567744089,3223.31073922031,880.363027126937
2001,"S","3",5125.39137581699,843.100460113823,7085.23550732166,1582.214662014
2002,"N","1",614.839897078075,188.098620433434,843.895945594243,257.805213758794
2002,"N","2",7758.61613343294,906.11191550713,7917.84205857558,1015.02060611183
2002,"N","3",310.905448717949,116.585863856749,403.139048734575,175.549318695391
2002,"S","1",1.83629697525206,2.32434966791287,11.13,11.13
2002,"S","2",1831.46168960998,607.069445476988,2215.7412801002,828.190526210556
2002,"S","3",1962.57353067571,364.749979051592,1747.56314210445,424.032153364289
2003,"N","1",670.524333594179,187.938474578274,518.343915299385,205.524828749194
2003,"N","2",7128.73580232824,1375.07898962581,7870.32572877817,1751.20611845782
2003,"N","3",110.327792553191,42.7310500053435,72.5956875,46.336719412472
2003,"S","1",1.96833130328867,2.79286295659746,11.9703703703704,11.9703703703704
2003,"S","2",2289.42505275699,519.817117218613,2404.59577540128,636.886974082215
2003,"S","3",935.305165664089,197.121769546323,728.503448602796,239.355230082678
2004,"N","1",446.374584266368,80.3846002362964,455.881645757055,142.198696828944
2004,"N","2",11375.1472426602,1708.59775167625,12911.8123027091,2914.77428063226
2004,"N","3",685.487841265105,391.808133897342,602.071491737157,410.505342094649
2004,"S","1",1.04843880908585,0.150020500905622,1.32642705921876,0.253216123909252
2004,"S","2",3161.38267347175,439.269285880019,3072.09858339033,512.780489937512
2004,"S","3",1022.83209321763,297.082728727879,1150.40089146949,390.322954473354
2005,"N","1",127.578237376177,47.8356202248701,272.650327219644,159.682266569405
2005,"N","2",6952.06433588933,996.26707449726,6839.2066766675,1377.92711427407
