"Year","area","fleet","month","season","totalUnits","totalEffort","units","effort","pooled.n","poolnum","pooledTotalUnits","pooledTotalEffort"
1991,"S","3","6","2",6,355.48,1,4.704,50,3,1042,26679.605
1991,"S","3","7","3",17,837.588,0,0,46,3,1028,24170.746
1991,"S","3","8","3",13,734.529,1,52.32,40,3,958,24789.934
1991,"S","3","9","3",15,667.817,0,0,43,3,1043,27887.305
1991,"S","3","10","4",20,597.963,0,0,53,3,1025,32715.105
1991,"S","3","11","4",20,865.245,0,0,51,3,1140,36945.258
1991,"S","3","12","4",23,1166.613,0,0,6,1,131,5662.942
1992,"N","1","1","1",116,416.994,6,32.324,6,0,116,416.994
1992,"N","1","2","1",121,438.328,7,25.067,7,0,121,438.328
1992,"N","1","3","1",139,461.917,9,31.052,9,0,139,461.917
1992,"N","1","4","2",118,429.595,6,28.457,6,0,118,429.595
1992,"N","1","5","2",115,485.063,3,6.454,30,1,571,2368.919
1992,"N","1","6","2",163,662.995,7,23.214,7,0,163,662.995
1992,"N","1","7","3",154,728.631,5,6.606,28,1,695,3559.902
1992,"N","1","8","3",135,712.2,5,17.384,25,1,651,3741.074
1992,"N","1","9","3",125,846.252,4,58.277,27,1,622,4058.71
1992,"N","1","10","4",129,711.007,10,71.528,10,0,129,711.007
1992,"N","1","11","4",94,334.021,4,21.553,26,1,522,2053.637
1992,"N","1","12","4",73,311.805,3,1.501,21,1,473,1800.493
1992,"N","2","1","1",91,2848.711,6,489.689,6,0,91,2848.711
1992,"N","2","2","1",41,2292.263,5,164.396,22,1,277,12513.632
1992,"N","2","3","1",52,1977.502,1,137.856,20,1,327,16777.518
1992,"N","2","4","2",62,2015.075,1,36.549,11,1,311,10951.731
1992,"N","2","5","2",47,1603.817,1,38.64,9,1,202,6963.527
1992,"N","2","6","2",62,1838.988,3,50.901,17,1,246,8128.372
1992,"N","2","7","3",50,1331.191,2,38.762,10,1,223,7923.026
1992,"N","2","8","3",42,2518.97,3,273.308,10,1,245,13996.22
1992,"N","2","9","3",61,1699.952,3,26.169,13,1,303,11271.788
1992,"N","2","10","4",33,1326.328,2,28.371,19,1,298,12671.275
1992,"N","2","11","4",61,2168.613,2,73.446,20,1,372,14238.919
1992,"N","2","12","4",76,1978.078,2,59.916,19,1,439,13458.782
1992,"S","2","1","1",86,5477.188,7,470.928,7,0,86,5477.188
1992,"S","2","2","1",98,7056.258,5,297.124,30,1,512,35483.312
1992,"S","2","3","1",82,4468.529,3,33.069,17,1,414,23740.489
1992,"S","2","4","2",44,1937.358,0,0,20,1,320,15804.002
1992,"S","2","5","2",35,1866.151,2,145.56,11,1,325,18310.279
1992,"S","2","6","2",41,2147.282,2,132.096,24,1,344,19528.957
1992,"S","2","7","3",44,2062.033,1,19,21,1,305,15917.646
1992,"S","2","8","3",43,1689.21,0,0,13,1,240,10270.959
1992,"S","2","9","3",40,2496.528,2,11.322,15,1,313,17246.169
1992,"S","2","10","4",73,4494.455,4,352.81,22,1,378,23604.266
1992,"S","2","11","4",72,4845.854,2,60.12,20,1,407,25526.88
1992,"S","2","12","4",99,6617.011,8,634.866,8,0,99,6617.011
1992,"S","3","1","1",19,792.499,0,0,81,3,1584,51872.305
1992,"S","3","2","1",18,466.034,2,72.804,8,1,83,2955.477
1992,"S","3","3","1",17,517.564,1,19.84,79,3,1405,44875.957
1992,"S","3","4","2",16,532.644,0,0,56,3,1207,31057.327
1992,"S","3","5","2",8,337.508,1,52.812,7,1,55,2678.87
1992,"S","3","6","2",13,512.128,1,5.06,69,3,1311,33556.837
1992,"S","3","7","3",9,606.214,0,0,61,3,1301,31030.544
1992,"S","3","8","3",22,989.203,0,0,51,3,1214,31912.069
1992,"S","3","9","3",14,866.331,1,9,59,3,1320,36207.156
1992,"S","3","10","4",17,800.293,1,9,5,1,89,3451.32
1992,"S","3","11","4",39,1398.006,2,46.83,5,1,125,5085.424
1992,"S","3","12","4",39,1712.684,3,191.928,6,1,150,6352.528
1993,"N","1","1","1",95,436.579,2,1.802,25,1,528,2301.747
1993,"N","1","2","1",82,422.561,8,48.144,8,0,82,422.561
1993,"N","1","3","1",111,429.917,6,8.128,6,0,111,429.917
1993,"N","1","4","2",77,342.862,3,9.752,23,1,522,2216.249
1993,"N","1","5","2",93,495.204,10,55.376,10,0,93,495.204
1993,"N","1","6","2",122,669.146,6,51.43,6,0,122,669.146
1993,"N","1","7","3",122,811.651,4,18.408,28,1,722,4132.53
1993,"N","1","8","3",119,858.106,6,31.675,6,0,119,858.106
1993,"N","1","9","3",113,913.298,4,21.432,27,1,608,4390.747
1993,"N","1","10","4",93,689.456,3,61.544,30,1,584,3762.351
1993,"N","1","11","4",96,445.237,4,20.455,26,1,525,2303.579
1993,"N","1","12","4",87,275.189,8,33.47,8,0,87,275.189
1993,"N","2","1","1",65,2017.357,3,38.004,16,1,394,11309.044
1993,"N","2","2","1",76,4368.507,5,567.804,20,1,270,14073.098
1993,"N","2","3","1",72,4612.222,2,131.448,13,1,336,18776.589
1993,"N","2","4","2",69,1950.113,3,47.994,10,1,328,11779.071
1993,"N","2","5","2",37,1336.91,0,0,12,1,231,8219.316
1993,"N","2","6","2",41,1813.883,4,309.758,18,1,255,10238.514
1993,"N","2","7","3",48,2022.478,2,55.26,11,1,227,9194.146
1993,"N","2","8","3",56,4005.284,2,116.504,12,1,257,15703.704
1993,"N","2","9","3",56,2142.278,2,173.808,15,1,310,11164.814
1993,"N","2","10","4",39,1557.214,5,331.95,19,1,294,13006.084
1993,"N","2","11","4",57,1865.281,4,79.71,18,1,358,13333.399
1993,"N","2","12","4",87,2385.465,1,23.175,17,1,412,13781.6
1993,"S","2","1","1",122,9092.864,6,387.106,6,0,122,9092.864
1993,"S","2","2","1",107,7627.074,1,79.608,26,1,480,34171.233
1993,"S","2","3","1",71,4957.813,2,148.536,15,1,368,20727.229
1993,"S","2","4","2",49,2491.261,6,448.644,6,0,49,2491.261
1993,"S","2","5","2",77,4362.522,3,296.664,14,1,308,17500.581
1993,"S","2","6","2",84,5371.794,5,325,24,1,351,19683.994
1993,"S","2","7","3",72,3663.825,8,279.115,8,0,72,3663.825
1993,"S","2","8","3",29,957.734,4,170.116,14,1,230,9416.623
1993,"S","2","9","3",71,4236.45,2,141.552,18,1,317,17620.726
1993,"S","2","10","4",81,5160.894,4,432.536,22,1,395,23569.849
1993,"S","2","11","4",93,6295.944,5,282.54,22,1,459,28235.191
1993,"S","2","12","4",97,6495.61,3,55.2,22,1,510,32876.787
1993,"S","3","1","1",34,1330.653,1,69.3,73,3,1585,53721.125
1993,"S","3","2","1",28,1205.119,3,179.25,8,1,91,3048.504
1993,"S","3","3","1",25,748.55,3,87.735,6,1,79,2447.783
1993,"S","3","4","2",20,605.096,1,11.04,56,3,1234,31859.437
1993,"S","3","5","2",24,935.141,3,78.867,7,1,69,2685.882
1993,"S","3","6","2",28,1228.624,0,0,74,3,1355,36300.089
1993,"S","3","7","3",27,1135.249,1,51,62,3,1375,34813.376
1993,"S","3","8","3",24,1115.365,2,54.65,53,3,1225,33275.999
1993,"S","3","9","3",30,1148.556,2,91.446,5,1,97,3947.476
1993,"S","3","10","4",24,1233.937,1,6.003,5,1,116,4170.583
1993,"S","3","11","4",48,1962.445,2,50.04,5,1,149,5822.436
1993,"S","3","12","4",59,2322.605,3,183.84,7,1,166,6773.106
1994,"N","1","1","1",100,409.641,6,19.319,6,0,100,409.641
1994,"N","1","2","1",109,360.881,4,14.534,31,1,568,2301.311
1994,"N","1","3","1",112,477.635,4,3.701,32,1,615,2528.154
1994,"N","1","4","2",119,508.877,3,18.722,31,1,572,2591.819
1994,"N","1","5","2",118,580.397,6,21.519,6,0,118,580.397
1994,"N","1","6","2",139,639.609,8,68.695,8,0,139,639.609
1994,"N","1","7","3",143,796.947,7,44.859,7,0,143,796.947
1994,"N","1","8","3",129,864.718,4,42.212,26,1,672,4579.597
1994,"N","1","9","3",106,859.36,8,58.691,8,0,106,859.36
1994,"N","1","10","4",139,966.541,8,138.674,8,0,139,966.541
