"","cond((Int))","disp((Int))","cond(area)","cond(fleet)","cond(hbf)","cond(season)","cond(Year)","cond(offset(log(Effort)))","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight"
"3",-1.32518174217289,"+","+","+",0.0131008382655919,"+","+","+",14679.3812060237,14678.6431482809,14910.089574317,37,-7302.32157414044,14910.089574317,0,0.991817776322724
"2",-1.29602961217188,"+","+","+",NA,"+","+","+",14695.4124020955,14694.7133729693,14919.9044901936,36,-7311.35668648466,14919.9044901936,9.81491587664823,0.00733077660307399
"1",-1.46346266422405,"+","+","+",0.0144529621697369,NA,"+","+",14712.1561284452,14711.5319480098,14924.2124476106,34,-7321.76597400492,14924.2124476106,14.1228732935942,0.000850528592196025
"0",-1.43669629937959,"+","+","+",NA,NA,"+","+",14732.0373974888,14731.4490388102,14937.8742295992,33,-7332.72451940512,14937.8742295992,27.7846552822175,9.18482006199583e-07
