"","area","fleet","Year","Total","Total.mean","TotalVar","TotalLCI","TotalUCI","Total.se","Total.cv"
"78","S","1","2001",10.1031368456516,NA,NA,NA,NA,NA,NA
"79","S","1","2002",5.14608827487993,NA,NA,NA,NA,NA,NA
"80","S","1","2003",3.13194178599268,NA,NA,NA,NA,NA,NA
"81","S","1","2004",1.33259420465703,NA,NA,NA,NA,NA,NA
"82","S","2","1990",10445.0313395629,NA,NA,NA,NA,NA,NA
"83","S","2","1991",11775.0409481409,NA,NA,NA,NA,NA,NA
"84","S","2","1992",8773.2383917754,NA,NA,NA,NA,NA,NA
"85","S","2","1993",11681.8362317143,NA,NA,NA,NA,NA,NA
"86","S","2","1994",10508.9880075796,NA,NA,NA,NA,NA,NA
"87","S","2","1995",7350.96063018479,NA,NA,NA,NA,NA,NA
"88","S","2","1996",7607.38247475069,NA,NA,NA,NA,NA,NA
"89","S","2","1997",5828.68779559533,NA,NA,NA,NA,NA,NA
"90","S","2","1998",3955.5093431985,NA,NA,NA,NA,NA,NA
"91","S","2","1999",4666.86004128062,NA,NA,NA,NA,NA,NA
"92","S","2","2000",4035.82144062924,NA,NA,NA,NA,NA,NA
"93","S","2","2001",3059.96865981354,NA,NA,NA,NA,NA,NA
"94","S","2","2002",2059.5522129869,NA,NA,NA,NA,NA,NA
"95","S","2","2003",3382.51289459779,NA,NA,NA,NA,NA,NA
"96","S","2","2004",3284.51814753245,NA,NA,NA,NA,NA,NA
"97","S","2","2005",1393.68404975763,NA,NA,NA,NA,NA,NA
"98","S","2","2006",1510.09442877921,NA,NA,NA,NA,NA,NA
"99","S","2","2007",1107.52340430524,NA,NA,NA,NA,NA,NA
"100","S","2","2008",1874.12827599317,NA,NA,NA,NA,NA,NA
"101","S","2","2009",1839.4743254245,NA,NA,NA,NA,NA,NA
"102","S","2","2010",1390.9594390048,NA,NA,NA,NA,NA,NA
"103","S","2","2011",1339.71443003616,NA,NA,NA,NA,NA,NA
"104","S","2","2012",1010.96960736238,NA,NA,NA,NA,NA,NA
"105","S","2","2013",659.679346837318,NA,NA,NA,NA,NA,NA
"106","S","2","2014",460.149204053455,NA,NA,NA,NA,NA,NA
"107","S","2","2015",471.906441086607,NA,NA,NA,NA,NA,NA
"108","S","2","2016",558.029947229884,NA,NA,NA,NA,NA,NA
"109","S","2","2017",619.296313131807,NA,NA,NA,NA,NA,NA
"110","S","2","2018",641.192038770722,NA,NA,NA,NA,NA,NA
"111","S","3","1990",2310.87386072508,NA,NA,NA,NA,NA,NA
"112","S","3","1991",3526.97572958595,NA,NA,NA,NA,NA,NA
