"","TMBnbinom2"
"KS.D",0.0118507030424575
"KS.p",0.652240996460366
"Dispersion.ratio",0.609623642801101
"Dispersion.p",0
"ZeroInf.ratio",1.03074345313177
"ZeroInf.p",0.056
"Outlier",39
"Outlier.p",0.145434265167371
